time   Resistance(Ohm);  Temperature('C);  Temperature(K);
14:53:11    47.8821;  10.3246;  283.475;
14:53:14    47.8835;  10.3319;  283.482;
14:53:18    47.8836;  10.3325;  283.483;
14:53:21    47.8821;  10.3243;  283.474;
14:53:25    47.8826;  10.327;  283.477;
14:53:28    47.8833;  10.3311;  283.481;
14:53:32    47.8853;  10.3421;  283.492;
14:53:35    47.8836;  10.3327;  283.483;
14:53:38    47.8817;  10.3219;  283.472;
14:53:42    47.8824;  10.3258;  283.476;
14:53:45    47.8801;  10.3135;  283.463;
14:53:49    47.8831;  10.3299;  283.48;
14:53:52    47.8847;  10.3387;  283.489;
14:53:56    47.8847;  10.3386;  283.489;
14:53:59    47.8844;  10.3371;  283.487;
14:54:02    47.8825;  10.3268;  283.477;
14:54:06    47.8829;  10.329;  283.479;
14:54:09    47.8835;  10.3323;  283.482;
14:54:13    47.8833;  10.3312;  283.481;
14:54:16    47.8837;  10.3331;  283.483;
14:54:20    47.8835;  10.3322;  283.482;
14:54:23    47.8842;  10.3362;  283.486;
14:54:26    47.8839;  10.3343;  283.484;
14:54:30    47.8858;  10.3447;  283.495;
14:54:33    47.8831;  10.3301;  283.48;
14:54:37    47.8834;  10.3317;  283.482;
14:54:40    47.8848;  10.3391;  283.489;
14:54:44    47.8817;  10.3223;  283.472;
14:54:47    47.8818;  10.3227;  283.473;
14:54:50    47.884;  10.3349;  283.485;
14:54:54    47.8833;  10.331;  283.481;
14:54:57    47.8832;  10.3305;  283.48;
14:55:01    47.8844;  10.3373;  283.487;
14:55:04    47.8825;  10.3266;  283.477;
14:55:07    47.8831;  10.3298;  283.48;
14:55:11    47.8824;  10.326;  283.476;
14:55:14    47.8835;  10.3319;  283.482;
14:55:18    47.8833;  10.3307;  283.481;
14:55:21    47.883;  10.3293;  283.479;
14:55:25    47.8838;  10.3339;  283.484;
14:55:28    47.8836;  10.3325;  283.483;
14:55:31    47.8834;  10.3313;  283.481;
14:55:35    47.8838;  10.3337;  283.484;
14:55:38    47.8837;  10.3329;  283.483;
14:55:42    47.8825;  10.3266;  283.477;
14:55:45    47.8831;  10.33;  283.48;
14:55:48    47.8841;  10.3352;  283.485;
14:55:52    47.8834;  10.3317;  283.482;
14:55:55    47.8832;  10.3306;  283.481;
14:55:59    47.8829;  10.3287;  283.479;
14:56:02    47.8837;  10.333;  283.483;
14:56:06    47.884;  10.3349;  283.485;
14:56:09    47.8832;  10.3302;  283.48;
14:56:12    47.8816;  10.3215;  283.471;
14:56:16    47.8839;  10.3344;  283.484;
14:56:19    47.8827;  10.3278;  283.478;
14:56:23    47.8837;  10.3332;  283.483;
14:56:26    47.8832;  10.3306;  283.481;
14:56:30    47.8841;  10.3352;  283.485;
14:56:33    47.884;  10.3349;  283.485;
14:56:36    47.8835;  10.3319;  283.482;
14:56:40    47.8842;  10.3358;  283.486;
14:56:43    47.8847;  10.3388;  283.489;
14:56:47    47.8831;  10.3297;  283.48;
14:56:50    47.8827;  10.3275;  283.478;
14:56:54    47.8847;  10.3386;  283.489;
14:56:57    47.885;  10.3405;  283.491;
14:57:00    47.8836;  10.3328;  283.483;
14:57:04    47.884;  10.335;  283.485;
14:57:07    47.8817;  10.3222;  283.472;
14:57:11    47.8832;  10.3302;  283.48;
14:57:14    47.8838;  10.3336;  283.484;
14:57:18    47.884;  10.335;  283.485;
14:57:21    47.8811;  10.3191;  283.469;
14:57:24    47.8823;  10.3255;  283.475;
14:57:28    47.8826;  10.3269;  283.477;
14:57:31    47.8821;  10.3246;  283.475;
14:57:35    47.8833;  10.3307;  283.481;
14:57:38    47.8827;  10.3279;  283.478;
14:57:41    47.8838;  10.3337;  283.484;
14:57:45    47.8845;  10.3377;  283.488;
