time   Resistance(Ohm);  Temperature('C);  Temperature(K);
14:19:55    47.8816;  10.3218;  283.472;
14:19:59    47.8828;  10.3284;  283.478;
14:20:02    47.8814;  10.3205;  283.47;
14:20:06    47.8817;  10.3224;  283.472;
14:20:09    47.8821;  10.3245;  283.474;
14:20:13    47.8837;  10.3331;  283.483;
14:20:16    47.8839;  10.334;  283.484;
14:20:19    47.8825;  10.3268;  283.477;
14:20:23    47.8836;  10.3325;  283.483;
14:20:26    47.8826;  10.3271;  283.477;
14:20:30    47.8829;  10.329;  283.479;
14:20:33    47.8809;  10.318;  283.468;
14:20:36    47.8826;  10.3274;  283.477;
14:20:40    47.8812;  10.3194;  283.469;
14:20:43    47.8837;  10.3334;  283.483;
14:20:47    47.8811;  10.3189;  283.469;
14:20:50    47.8818;  10.3228;  283.473;
14:20:54    47.8817;  10.3219;  283.472;
14:20:57    47.8824;  10.3262;  283.476;
14:21:00    47.8823;  10.3257;  283.476;
14:21:04    47.8808;  10.3172;  283.467;
14:21:07    47.8826;  10.327;  283.477;
14:21:11    47.88;  10.3126;  283.463;
14:21:14    47.8812;  10.3195;  283.47;
14:21:17    47.8825;  10.3265;  283.477;
14:21:21    47.8832;  10.3302;  283.48;
14:21:24    47.8808;  10.3175;  283.468;
14:21:28    47.8812;  10.3195;  283.47;
14:21:31    47.8811;  10.3188;  283.469;
14:21:35    47.8835;  10.3319;  283.482;
14:21:38    47.8803;  10.3143;  283.464;
14:21:42    47.8813;  10.3198;  283.47;
14:21:45    47.8802;  10.314;  283.464;
14:21:48    47.8817;  10.3222;  283.472;
14:21:52    47.8827;  10.3276;  283.478;
14:21:55    47.8818;  10.3225;  283.473;
14:21:59    47.8822;  10.3247;  283.475;
14:22:02    47.8834;  10.3313;  283.481;
14:22:05    47.8808;  10.3171;  283.467;
14:22:09    47.8805;  10.3153;  283.465;
14:22:12    47.8806;  10.3164;  283.466;
14:22:16    47.8826;  10.3272;  283.477;
14:22:19    47.8804;  10.3152;  283.465;
14:22:23    47.8828;  10.3284;  283.478;
14:22:26    47.8813;  10.3199;  283.47;
14:22:29    47.8805;  10.3157;  283.466;
14:22:33    47.8813;  10.32;  283.47;
14:22:36    47.8814;  10.3205;  283.47;
14:22:40    47.8828;  10.3283;  283.478;
14:22:43    47.8827;  10.3275;  283.477;
14:22:47    47.8825;  10.3264;  283.476;
14:22:50    47.8824;  10.3261;  283.476;
14:22:53    47.8824;  10.326;  283.476;
14:22:57    47.8817;  10.3221;  283.472;
14:23:00    47.8823;  10.3255;  283.476;
14:23:04    47.8817;  10.3224;  283.472;
14:23:07    47.8817;  10.3221;  283.472;
14:23:11    47.8833;  10.331;  283.481;
14:23:14    47.8836;  10.3327;  283.483;
14:23:17    47.8833;  10.331;  283.481;
14:23:21    47.8823;  10.3256;  283.476;
14:23:24    47.882;  10.3236;  283.474;
14:23:28    47.8827;  10.3278;  283.478;
14:23:31    47.8811;  10.3189;  283.469;
14:23:34    47.8812;  10.3195;  283.469;
14:23:38    47.8835;  10.3323;  283.482;
14:23:41    47.8814;  10.3205;  283.471;
14:23:45    47.8819;  10.3232;  283.473;
14:23:48    47.8807;  10.3166;  283.467;
14:23:52    47.8826;  10.3271;  283.477;
14:23:55    47.8828;  10.328;  283.478;
14:23:58    47.882;  10.324;  283.474;
14:24:02    47.8834;  10.3313;  283.481;
14:24:05    47.8808;  10.3172;  283.467;
14:24:09    47.8818;  10.3229;  283.473;
14:24:12    47.8841;  10.3353;  283.485;
14:24:16    47.8816;  10.3214;  283.471;
14:24:19    47.881;  10.3182;  283.468;
14:24:22    47.8823;  10.3257;  283.476;
14:24:26    47.8832;  10.3306;  283.481;
14:24:29    47.8821;  10.3241;  283.474;
14:24:33    47.8817;  10.3223;  283.472;
14:24:36    47.8843;  10.3363;  283.486;
14:24:40    47.8833;  10.3309;  283.481;
14:24:43    47.8829;  10.3286;  283.479;
14:24:46    47.8824;  10.3261;  283.476;
14:24:50    47.883;  10.3294;  283.479;
14:24:53    47.8807;  10.3166;  283.467;
14:24:57    47.8822;  10.3252;  283.475;
14:25:00    47.8826;  10.327;  283.477;
14:25:03    47.8803;  10.3146;  283.465;
14:25:07    47.8816;  10.3217;  283.472;
14:25:10    47.8822;  10.3251;  283.475;
14:25:14    47.8825;  10.3266;  283.477;
14:25:17    47.8822;  10.3248;  283.475;
14:25:21    47.881;  10.3184;  283.468;
14:25:24    47.8816;  10.3215;  283.472;
14:25:28    47.883;  10.3295;  283.479;
14:25:31    47.8826;  10.3273;  283.477;
14:25:34    47.8837;  10.3332;  283.483;
14:25:38    47.8803;  10.3143;  283.464;
14:25:41    47.8824;  10.3261;  283.476;
14:25:44    47.8836;  10.3329;  283.483;
14:25:48    47.882;  10.3237;  283.474;
14:25:51    47.8802;  10.3142;  283.464;
14:25:55    47.8824;  10.3259;  283.476;
14:25:58    47.8825;  10.3264;  283.476;
14:26:02    47.8822;  10.325;  283.475;
14:26:05    47.8822;  10.3251;  283.475;
14:26:09    47.8809;  10.3178;  283.468;
14:26:12    47.8819;  10.3233;  283.473;
14:26:15    47.8823;  10.3256;  283.476;
14:26:19    47.8826;  10.3274;  283.477;
14:26:22    47.8819;  10.323;  283.473;
14:26:26    47.8836;  10.3324;  283.482;
14:26:29    47.8816;  10.3215;  283.472;
14:26:32    47.8809;  10.3177;  283.468;
14:26:36    47.882;  10.324;  283.474;
14:26:39    47.8817;  10.322;  283.472;
14:26:42    47.8853;  10.3417;  283.492;
14:26:46    47.8828;  10.3281;  283.478;
14:26:49    47.881;  10.3185;  283.468;
14:26:53    47.8814;  10.3203;  283.47;
14:26:56    47.8827;  10.3278;  283.478;
14:27:00    47.8817;  10.3221;  283.472;
14:27:03    47.8822;  10.325;  283.475;
