time   Resistance(Ohm);  Temperature('C);  Temperature(K);
14:00:58    47.8859;  10.3455;  283.495;
14:01:01    47.8835;  10.332;  283.482;
14:01:05    47.886;  10.3456;  283.496;
14:01:08    47.8859;  10.3455;  283.495;
14:01:12    47.8856;  10.3435;  283.494;
14:01:15    47.8876;  10.3544;  283.504;
14:01:19    47.8847;  10.3386;  283.489;
14:01:22    47.8834;  10.3313;  283.481;
14:01:25    47.8846;  10.3379;  283.488;
14:01:29    47.8853;  10.3422;  283.492;
14:01:32    47.8854;  10.3423;  283.492;
14:01:36    47.8858;  10.3446;  283.495;
14:01:39    47.8857;  10.3442;  283.494;
14:01:43    47.8857;  10.3442;  283.494;
14:01:46    47.8858;  10.3448;  283.495;
14:01:49    47.883;  10.3294;  283.479;
14:01:53    47.8851;  10.3411;  283.491;
14:01:56    47.8854;  10.3423;  283.492;
14:01:59    47.8836;  10.3326;  283.483;
14:02:03    47.8849;  10.3399;  283.49;
14:02:06    47.887;  10.3512;  283.501;
14:02:10    47.8836;  10.3327;  283.483;
14:02:13    47.8867;  10.3497;  283.5;
14:02:17    47.885;  10.3402;  283.49;
14:02:20    47.8852;  10.3414;  283.491;
14:02:24    47.8843;  10.3365;  283.487;
14:02:27    47.8843;  10.3363;  283.486;
14:02:30    47.8868;  10.3502;  283.5;
14:02:34    47.8859;  10.3454;  283.495;
14:02:37    47.8857;  10.3444;  283.494;
14:02:41    47.8859;  10.3451;  283.495;
14:02:44    47.8867;  10.3495;  283.499;
14:02:48    47.8858;  10.3449;  283.495;
14:02:51    47.8842;  10.3358;  283.486;
14:02:54    47.8852;  10.3415;  283.492;
14:02:58    47.8865;  10.3485;  283.499;
14:03:01    47.885;  10.3404;  283.49;
14:03:05    47.8857;  10.344;  283.494;
14:03:08    47.8864;  10.348;  283.498;
14:03:11    47.8867;  10.3494;  283.499;
14:03:15    47.8847;  10.3387;  283.489;
14:03:18    47.8854;  10.3423;  283.492;
14:03:22    47.8858;  10.3445;  283.495;
14:03:25    47.8857;  10.3443;  283.494;
14:03:28    47.8848;  10.3393;  283.489;
14:03:32    47.885;  10.3404;  283.49;
14:03:35    47.8846;  10.3383;  283.488;
14:03:39    47.8867;  10.3499;  283.5;
14:03:42    47.885;  10.3401;  283.49;
14:03:46    47.884;  10.3346;  283.485;
14:03:49    47.8866;  10.3493;  283.499;
14:03:53    47.8851;  10.3408;  283.491;
14:03:56    47.8873;  10.3531;  283.503;
14:03:59    47.8851;  10.3411;  283.491;
14:04:03    47.8843;  10.3367;  283.487;
14:04:06    47.8844;  10.3371;  283.487;
